generation,fitness
1667,4492074
1668,4492074
1669,4491532.5
1670,4491532.5
1671,4491532.5
1672,4491200.5
1673,4490910
1674,4490390.5
1675,4488912
1676,4488690
1677,4488300
1678,4487683
1679,4486699
1680,4486699
1681,4486699
1682,4486699
1683,4485918.5
1684,4485760
1685,4484984
1686,4484445
1687,4484445
1688,4484071
1689,4484071
1690,4483179
1691,4482316
1692,4481865
1693,4480658
1694,4480658
1695,4480168
1696,4480038
1697,4479790.5
1698,4479170
1699,4478640
1700,4478640
1701,4477942
1702,4477561
1703,4477561
1704,4477561
1705,4477414
1706,4476579
1707,4475853.5
1708,4475399
1709,4475399
1710,4474645.5
1711,4474517
1712,4473760.5
1713,4473432
1714,4473412
1715,4471944
1716,4471944
1717,4471371.5
1718,4471371.5
1719,4470639
1720,4470465
1721,4469298
1722,4468334
1723,4467938.5
1724,4467938.5
1725,4467742
1726,4467742
1727,4467322
1728,4466863
1729,4466663
1730,4465960
1731,4465960
1732,4465934
1733,4465934
1734,4465331
1735,4464121.5
1736,4464121.5
1737,4463961
1738,4463366
1739,4462218
1740,4461729.5
1741,4461729.5
1742,4461729.5
1743,4459898.5
1744,4459898.5
1745,4459898.5
1746,4459898.5
1747,4459224
1748,4459224
1749,4459199.5
1750,4458631
1751,4458447.5
1752,4458447.5
1753,4457718.5
1754,4457452
1755,4457115
1756,4457115
1757,4457115
1758,4457033
1759,4456280
1760,4456033
1761,4456033
1762,4455253
1763,4454906
1764,4454595
1765,4454595
1766,4454240
1767,4453927
1768,4453927
1769,4453442
1770,4453415
1771,4452842.5
1772,4452595
1773,4452457
1774,4451950.5
1775,4451950.5
1776,4451950.5
1777,4451854
1778,4451588
1779,4451003
1780,4451003
1781,4450859
1782,4450599
1783,4450009
1784,4449807.5
1785,4449595.5
1786,4449176.5
1787,4449176.5
1788,4449176.5
1789,4448207.5
1790,4448207.5
1791,4448203
1792,4448203
1793,4448203
1794,4448115.5
1795,4447319
1796,4447723
1797,4447298.5
1798,4446974
1799,4446974
1800,4446138.5
1801,4446138.5
1802,4445666
1803,4445387
1804,4445079
1805,4445079
1806,4444747.5
1807,4444747.5
1808,4443920.5
1809,4443830
1810,4443830
1811,4443830
1812,4443830
1813,4443056.5
1814,4443056.5
1815,4442954
1816,4442954
1817,4442508.5
1818,4442097.5
1819,4442097.5
1820,4442097.5
1821,4441877
1822,4441877
1823,4441362
1824,4441322.5
1825,4441157.5
1826,4441112
1827,4440371.5
1828,4440371.5
1829,4440259
1830,4440259
1831,4440246
1832,4439893.5
1833,4439881
1834,4439628.5
1835,4439095
1836,4439031.5
1837,4439031.5
1838,4439031.5
1839,4438644
1840,4438150.5
1841,4438146
1842,4437836
1843,4437723
1844,4437723
1845,4437723
1846,4437525
1847,4436770
